path	trees	sha256	lines	reason	text_hits
Grass/Console/Behavior.lean	main,certificate,frontend,lowering,windows	e7beaa1acb3a29fb9fcdf4252402560c38b977e7498425fb3201ae6d63790a67	238	semantic-boundary-or-consumer	0
Grass/Console/Captured.lean	main,certificate,frontend,lowering,windows,process	0b6baa66bd25c91555fe5194bdf27e72eaaaf4483f7d6bf965df391c1d976f52	90	semantic-boundary-or-consumer	0
Grass/Console/CapturedDemands.lean	main,certificate,frontend,lowering,windows,process	f0f203d9d898c2f5944922ee663c6572e91c4480b785b5582bdfe1eac60fe4a1	198	semantic-boundary-or-consumer	0
Grass/Console/CapturedProjection.lean	main,windows	68a02b1a803d7f6a28780e205bcbc489db1ce853a801003cfd0dc1973660fdf1	52	semantic-boundary-or-consumer	0
Grass/Console/LineBehavior.lean	main,certificate,frontend,lowering,windows,process	ff536333cf19eac9ce002cb74fc03e14369528718453a33fa7fc83263e9b8629	98	semantic-boundary-or-consumer	0
Grass/Console/Resources.lean	main,certificate,frontend,lowering,windows,process	8414e05d72035a032f2624342e0f70cee68053c5b44598651c78746fbc377416	90	semantic-boundary-or-consumer	0
Grass/Console/TargetProjection.lean	main,windows	ea3105375bdbb3b1733414d5c28aafbfa567484d43ee446896b3f64e007c5d46	87	text-match	1
Grass/Console/Timing.lean	main,certificate,frontend,lowering,windows,process	2d4794339d25e266090cf8fa12cb9b388c62e4a8e926abce0b0b6e2c51f7a480	99	semantic-boundary-or-consumer	0
Grass/ISA/X86/Bytes.lean	main,certificate,frontend,lowering,windows,process	63a60f5a6407806793eb1a21ae4971bcfd7e1e00433bbaea187c043aa25fc0a3	477	text-match	2
Grass/ISA/X86/Decode.lean	main,certificate,frontend,lowering,windows,process	9fea6d87f2c3218311d7a7e68609b750bc13cd6dec55143aa27f551637e72215	854	text-match	2
Grass/ISA/X86/Execution/Instruction.lean	main,certificate,frontend,lowering,windows,process	e6b2952dbb35a2b3637ce2bfcbd184f0da5d6e5bf7f65f4d10db75b37c6b87fc	87	text-match	1
Grass/ISA/X86/Execution/LeaNormal.lean	main,certificate,frontend,lowering,windows,process	a2c8a45451147f95f25a86d22ea378b76de0f2f47a7ac3e8d380ab302be23573	144	text-match	1
Grass/ISA/X86/ImmediateArithmetic.lean	main,certificate,frontend,lowering,windows,process	fc3099667fb090bbe56c40a76eb63397dfd51620834d3c9a8a88e1b0d040e702	150	text-match	1
Grass/ISA/X86/Register.lean	main,certificate,frontend,lowering,windows,process	9a4441ed27277f7564cfa9be7505bf04fc48200a073f852bf576c6e2615b3dfb	441	text-match	3
Grass/ISA/X86/RegisterLaws.lean	main,certificate,frontend,lowering,windows,process	b1b0d72578b04a18b17b1d1f15f70306cd0b621cddf51295fd0b65c8da2427ed	93	text-match	1
Grass/ISA/X86/RegisterSemantics.lean	main,certificate,frontend,lowering,windows,process	ecf39c970169fa8f1b7d0340e30e45b7b6f2a0aff672923d842a8f750f4ac22e	246	text-match	1
Grass/Memory/Access.lean	main,certificate,frontend,lowering,windows,process	278175b3abd78109bd4b5bea4f6ed2f271788b32cd72a55556163e7452d90c85	436	text-match	1
Grass/Memory/AddressSpace.lean	main,certificate,frontend,lowering,windows,process	81fbd8d68ba6916984b994e60d7148bf8be522d7459bfaffe7ff7cb7e17030ae	504	text-match	1
Grass/Memory/Apply.lean	main,certificate,frontend,lowering,windows,process	d058474633186a15c09cef49efa456bfe71eb03c3af95f1fc709f7fbc7be0259	1437	text-match	2
Grass/Memory/Audit.lean	main,certificate,frontend,lowering,windows,process	36769f113fb112befdb2eafcaab7ca18f0d4043671e59a08a97dad75e8a67fa5	503	text-match	2
Grass/Memory/Authority.lean	main,certificate,frontend,lowering,windows,process	34c76943f132683f7e433b4c35f92aa9bcf0838f7c7885f9a17d276011537e06	231	text-match	1
Grass/Memory/State.lean	main,certificate,frontend,lowering,windows	7c2088bdd3444a60a3ae0151919e34e67c063fa3a1275dac43defe57694b6e4a	4833	text-match	1
Grass/Platform/Win32/ApiDispatch.lean	main,certificate,frontend,lowering,windows,process	ab5f76f0a147538c84b45e3ba0feb81b6492780eb2d9d5ff43a4d74be93ccb5d	140	semantic-boundary-or-consumer	0
Grass/Platform/Win32/ApiRequest.lean	main,certificate,frontend,lowering,windows,process	f3be33857a22a4aa013d358d587c2aaad2f3994a0d9ff503d16bfa7a03672b8c	70	semantic-boundary-or-consumer	0
Grass/Platform/Win32/CallEntry.lean	main,certificate,frontend,lowering,windows,process	240b34cf1313bc0b865711c9ff12a539960e5e0ca179ad7557146a7593c9ae71	91	semantic-boundary-or-consumer	0
